Mode,Task ID,Success,Valid Success,Safety Veto,Latency (s),Actual Cost ($),GPT5 Baseline ($),Savings (%),Iterations,Escalated,Error
baseline,HumanEval/23,1,1,0,1.19,3.157499999999983e-05,0.0007075,95.54,1,0,
baseline,HumanEval/24,1,1,0,2.99,7.185000000000004e-05,0.00186875,96.16,1,0,
baseline,HumanEval/25,1,1,0,8.39,0.0001639749999999998,0.00402,95.92,1,0,
baseline,HumanEval/26,1,1,0,3.92,0.00011477500000000012,0.0027775,95.87,1,0,
baseline,HumanEval/27,1,1,0,1.52,4.77250000000002e-05,0.00096375,95.05,1,0,
baseline,HumanEval/28,1,1,0,2.15,4.257499999999999e-05,0.00088375,95.18,1,0,
baseline,HumanEval/29,1,1,0,2.95,0.0001060499999999999,0.0022425,95.27,1,0,
baseline,HumanEval/30,1,1,0,2.12,5.719999999999987e-05,0.001815,96.85,1,0,
baseline,HumanEval/31,1,1,0,2.86,8.997499999999995e-05,0.0024775,96.37,1,0,
baseline,HumanEval/32,0,0,0,9.36,0.0003146249999999998,0.0080575,96.1,1,0,
baseline,HumanEval/33,0,0,0,11.83,0.00024609999999999996,0.007655,96.79,1,0,
baseline,HumanEval/34,1,1,0,1.93,4.5774999999999635e-05,0.001285,96.44,1,0,
baseline,HumanEval/35,1,1,0,3.34,8.797499999999969e-05,0.00234625,96.25,1,0,
baseline,HumanEval/36,1,1,0,5.98,0.00013874999999999998,0.0035725,96.12,1,0,
baseline,HumanEval/37,1,1,0,4.49,0.00014457500000000009,0.0036475,96.04,1,0,
baseline,HumanEval/38,0,0,0,13.56,0.0002941250000000001,0.0074625,96.06,1,0,
baseline,HumanEval/39,1,1,0,4.59,0.00017155000000000035,0.00443375,96.13,1,0,
baseline,HumanEval/40,1,1,0,8.22,0.0001782499999999996,0.0048725,96.34,1,0,
baseline,HumanEval/41,1,1,0,10.66,0.0003069250000000004,0.00654,95.31,1,0,
baseline,HumanEval/42,1,1,0,2.29,5.60500000000002e-05,0.0018399999999999998,96.95,1,0,
baseline,HumanEval/43,1,1,0,7.73,0.00014959999999999973,0.0039000000000000003,96.16,1,0,
baseline,HumanEval/44,1,1,0,4.78,0.00011234999999999978,0.0030074999999999998,96.26,1,0,
baseline,HumanEval/45,1,1,0,2.03,5.4600000000000135e-05,0.0014812500000000001,96.31,1,0,
baseline,HumanEval/46,1,1,0,8.72,0.0001482749999999998,0.00429625,96.55,1,0,
baseline,HumanEval/47,1,1,0,4.61,0.00011665000000000026,0.0033975,96.57,1,0,
baseline,HumanEval/48,1,1,0,4.35,0.00012914999999999975,0.0028325,95.44,1,0,
baseline,HumanEval/49,1,1,0,2.23,5.825000000000014e-05,0.00133625,95.64,1,0,
baseline,HumanEval/50,0,0,0,4.1,0.00010287499999999967,0.00246625,95.83,1,0,
baseline,HumanEval/51,1,1,0,1.6,7.059999999999966e-05,0.0013875,94.91,1,0,
baseline,HumanEval/52,1,1,0,2.23,6.797499999999963e-05,0.0016825,95.96,1,0,
baseline,HumanEval/53,1,1,0,2.43,4.842500000000038e-05,0.00129,96.25,1,0,
baseline,HumanEval/54,1,1,0,4.26,0.00011682500000000009,0.0028562500000000003,95.91,1,0,
baseline,HumanEval/55,1,1,0,3.61,0.0001041000000000002,0.00299875,96.53,1,0,
baseline,HumanEval/56,1,1,0,4.66,0.00015595000000000019,0.0033699999999999997,95.37,1,0,
baseline,HumanEval/57,1,1,0,5.3,0.00010342499999999987,0.0026812499999999996,96.14,1,0,
baseline,HumanEval/58,1,1,0,6.44,0.00010139999999999975,0.0033562500000000003,96.98,1,0,
baseline,HumanEval/59,1,1,0,5.88,0.00014090000000000023,0.0035125,95.99,1,0,
baseline,HumanEval/60,1,1,0,3.08,5.6699999999999806e-05,0.00176125,96.78,1,0,
baseline,HumanEval/61,1,1,0,6.25,0.00015315000000000033,0.0032975,95.36,1,0,
baseline,HumanEval/62,1,1,0,4.39,0.00012350000000000035,0.0033075,96.27,1,0,
baseline,HumanEval/63,1,1,0,4.65,0.0001302250000000003,0.0035875,96.37,1,0,
baseline,HumanEval/64,1,1,0,6.29,0.000194975,0.00546,96.43,1,0,
baseline,HumanEval/65,1,1,0,5.07,0.0001637500000000007,0.00404625,95.95,1,0,
baseline,HumanEval/66,1,1,0,4.33,0.00010642500000000027,0.0025624999999999997,95.85,1,0,
baseline,HumanEval/67,1,1,0,5.53,0.0002020000000000008,0.004676250000000001,95.68,1,0,
baseline,HumanEval/68,1,1,0,4.21,0.00018582500000000057,0.00420375,95.58,1,0,
baseline,HumanEval/69,1,1,0,5.61,0.00018172500000000064,0.00433,95.8,1,0,
baseline,HumanEval/70,1,1,0,4.26,0.00016587499999999936,0.003998750000000001,95.85,1,0,
baseline,HumanEval/71,1,1,0,3.59,0.00010122499999999993,0.002765,96.34,1,0,
baseline,HumanEval/72,1,1,0,6.18,0.00012392500000000042,0.003425,96.38,1,0,
baseline,HumanEval/73,1,1,0,6.55,0.0001565500000000001,0.0042,96.27,1,0,
baseline,HumanEval/74,1,1,0,4.87,0.00015317500000000019,0.004245,96.39,1,0,
baseline,HumanEval/75,0,0,0,8.87,0.00019127499999999943,0.0048649999999999995,96.07,1,0,
baseline,HumanEval/76,1,1,0,7.3,0.00018169999999999992,0.00573125,96.83,1,0,
baseline,HumanEval/77,0,0,0,3.4,9.492499999999918e-05,0.0025712499999999998,96.31,1,0,
baseline,HumanEval/78,1,1,0,6.82,0.00015402500000000034,0.0040875,96.23,1,0,
baseline,HumanEval/79,1,1,0,4.48,0.00010135000000000005,0.0023575000000000002,95.7,1,0,
baseline,HumanEval/80,1,1,0,6.7,0.00015252500000000058,0.00397625,96.16,1,0,
baseline,HumanEval/81,0,0,0,7.15,0.0002332250000000001,0.00592125,96.06,1,0,
baseline,HumanEval/82,1,1,0,4.84,0.00013917500000000006,0.003435,95.95,1,0,
baseline,HumanEval/83,1,1,0,9.48,0.00022305000000000068,0.00688,96.76,1,0,
baseline,HumanEval/84,1,1,0,5.6,0.00012675000000000013,0.00304,95.83,1,0,
baseline,HumanEval/85,1,1,0,2.59,9.622500000000013e-05,0.0024425000000000002,96.06,1,0,
baseline,HumanEval/86,1,1,0,8.06,0.00024579999999999914,0.00545375,95.49,1,0,
baseline,HumanEval/87,1,1,0,10.2,0.00026289999999999994,0.0069175,96.2,1,0,
baseline,HumanEval/88,1,1,0,9.66,0.0002193999999999998,0.00557625,96.07,1,0,
baseline,HumanEval/89,1,1,0,8.11,0.0002283249999999997,0.0068312500000000005,96.66,1,0,
baseline,HumanEval/90,1,1,0,4.6,0.00013547499999999948,0.00318875,95.75,1,0,
baseline,HumanEval/91,1,1,0,3.36,0.00014575000000000005,0.0033075,95.59,1,0,
baseline,HumanEval/92,1,1,0,5.35,0.0001387999999999997,0.0037224999999999997,96.27,1,0,
baseline,HumanEval/93,1,1,0,13.99,0.00031962500000000046,0.00862,96.29,1,0,
baseline,HumanEval/94,1,1,0,11.29,0.0002366499999999997,0.007379999999999999,96.79,1,0,
baseline,HumanEval/95,1,1,0,5.81,0.00020235000000000045,0.004795000000000001,95.78,1,0,
baseline,HumanEval/96,1,1,0,10.17,0.00019305000000000017,0.005785,96.66,1,0,
baseline,HumanEval/97,1,1,0,3.51,9.289999999999993e-05,0.00242625,96.17,1,0,
baseline,HumanEval/98,1,1,0,3.95,9.60000000000006e-05,0.00248375,96.13,1,0,
baseline,HumanEval/99,1,1,0,5.04,0.00015817499999999998,0.0037087500000000002,95.74,1,0,
baseline,HumanEval/100,0,0,0,8.51,0.0001938249999999999,0.0051087500000000004,96.21,1,0,
baseline,HumanEval/101,1,1,0,2.98,9.870000000000018e-05,0.00225875,95.63,1,0,
baseline,HumanEval/102,0,0,0,4.92,0.00011945000000000011,0.00316,96.22,1,0,
baseline,HumanEval/103,1,1,0,7.45,0.00014075000000000025,0.00372875,96.23,1,0,
baseline,HumanEval/104,1,1,0,3.5,0.00013190000000000077,0.0030199999999999997,95.63,1,0,
baseline,HumanEval/105,1,1,0,6.55,0.00018177500000000034,0.0050887499999999995,96.43,1,0,
baseline,HumanEval/106,0,0,0,8.3,0.0002232499999999995,0.006198749999999999,96.4,1,0,
baseline,HumanEval/107,1,1,0,7.57,0.00022964999999999965,0.0059362500000000006,96.13,1,0,
baseline,HumanEval/108,1,1,0,5.68,0.0001898500000000001,0.00455875,95.84,1,0,
baseline,HumanEval/109,1,1,0,5.3,0.00020707499999999927,0.00456,95.46,1,0,
baseline,HumanEval/110,1,1,0,5.67,0.00018697499999999895,0.0049099999999999994,96.19,1,0,
baseline,HumanEval/111,1,1,0,4.9,0.00015682499999999933,0.0037125,95.78,1,0,
baseline,HumanEval/112,1,1,0,3.11,9.910000000000127e-05,0.00228875,95.67,1,0,
baseline,HumanEval/113,1,1,0,8.65,0.00031130000000000047,0.00793,96.07,1,0,
baseline,HumanEval/114,1,1,0,4.14,0.0001506499999999987,0.00355375,95.76,1,0,
baseline,HumanEval/115,1,1,0,8.95,0.0002454999999999992,0.0062975,96.1,1,0,
baseline,HumanEval/116,0,0,0,10.42,0.0002132999999999996,0.00539625,96.05,1,0,
baseline,HumanEval/117,1,1,0,7.36,0.0002126999999999997,0.00503,95.77,1,0,
baseline,HumanEval/118,1,1,0,5.16,0.0001984249999999986,0.00458625,95.67,1,0,
baseline,HumanEval/119,1,1,0,5.42,0.00019657500000000092,0.004679999999999999,95.8,1,0,
baseline,HumanEval/120,1,1,0,7.09,0.00014647500000000008,0.003705,96.05,1,0,
baseline,HumanEval/121,1,1,0,2.88,0.00011662499999999867,0.0031450000000000002,96.29,1,0,
baseline,HumanEval/122,1,1,0,5.01,0.00016340000000000104,0.00432375,96.22,1,0,
baseline,HumanEval/123,1,1,0,4.18,0.00012712499999999877,0.0030050000000000003,95.77,1,0,
baseline,HumanEval/124,1,1,0,7.21,0.000222725,0.0058425,96.19,1,0,
baseline,HumanEval/125,1,1,0,3.71,0.00013809999999999864,0.00319875,95.68,1,0,
baseline,HumanEval/126,1,1,0,5.99,0.00021115000000000023,0.005614999999999999,96.24,1,0,
baseline,HumanEval/127,0,0,0,6.5,0.00022360000000000088,0.00549,95.93,1,0,
baseline,HumanEval/128,1,1,0,4.79,0.00016092499999999926,0.00407625,96.05,1,0,
baseline,HumanEval/129,1,1,0,16.09,0.0003777499999999996,0.00933875,95.96,1,0,
baseline,HumanEval/130,0,0,0,20.38,0.0005250499999999991,0.01778625,97.05,1,0,
baseline,HumanEval/131,1,1,0,4.77,9.597500000000161e-05,0.0025225,96.2,1,0,
baseline,HumanEval/132,0,0,0,8.59,0.000366749999999999,0.00777,95.28,1,0,
baseline,HumanEval/133,1,1,0,3.6,0.00013752499999999945,0.00365,96.23,1,0,
baseline,HumanEval/134,1,1,0,47.53,0.0014328499999999994,0.035935,96.01,1,0,
baseline,HumanEval/135,1,1,0,5.06,0.00015067499999999942,0.0046625,96.77,1,0,
baseline,HumanEval/136,1,1,0,3.53,0.00016767499999999907,0.00405125,95.86,1,0,
baseline,HumanEval/137,1,1,0,9.29,0.00025570000000000107,0.00597,95.72,1,0,
baseline,HumanEval/138,1,1,0,7.23,0.00021795000000000148,0.00615,96.46,1,0,
baseline,HumanEval/139,1,1,0,2.94,9.31750000000009e-05,0.0021425000000000003,95.65,1,0,
baseline,HumanEval/140,1,1,0,7.11,0.0002426500000000005,0.00569625,95.74,1,0,
baseline,HumanEval/141,1,1,0,4.06,0.00018827500000000164,0.00456125,95.87,1,0,
baseline,HumanEval/142,1,1,0,5.37,0.00015427499999999886,0.0037949999999999998,95.93,1,0,
baseline,HumanEval/143,1,1,0,3.85,0.00018195000000000017,0.0042675,95.74,1,0,
baseline,HumanEval/144,1,1,0,4.47,0.00013890000000000083,0.0035175000000000002,96.05,1,0,
baseline,HumanEval/145,0,0,0,5.12,0.00020440000000000041,0.0048375,95.77,1,0,
baseline,HumanEval/146,1,1,0,3.75,0.00012534999999999977,0.0033125,96.22,1,0,
baseline,HumanEval/147,1,1,0,7.58,0.00022215000000000082,0.00664,96.65,1,0,
baseline,HumanEval/148,1,1,0,6.64,0.0002905249999999998,0.0071175,95.92,1,0,
baseline,HumanEval/149,1,1,0,2.75,0.00011125000000000024,0.0023875,95.34,1,0,
baseline,HumanEval/150,1,1,0,2.8,9.082499999999924e-05,0.00267125,96.6,1,0,
baseline,HumanEval/151,1,1,0,9.44,0.0002559250000000006,0.007325,96.51,1,0,
baseline,HumanEval/152,1,1,0,3.39,0.0001370000000000017,0.00361125,96.21,1,0,
baseline,HumanEval/153,1,1,0,3.88,0.00019927499999999876,0.00415375,95.2,1,0,
baseline,HumanEval/154,1,1,0,4.39,0.0001377749999999997,0.0033924999999999997,95.94,1,0,
baseline,HumanEval/155,1,1,0,2.96,9.674999999999961e-05,0.0023587499999999997,95.9,1,0,
baseline,HumanEval/156,1,1,0,7.88,0.00016974999999999976,0.004275,96.03,1,0,
baseline,HumanEval/157,1,1,0,3.38,0.00010502500000000164,0.0025287499999999997,95.85,1,0,
baseline,HumanEval/158,1,1,0,3.89,0.0001604750000000002,0.0034437499999999998,95.34,1,0,
baseline,HumanEval/159,0,0,0,7.6,0.0002477250000000007,0.0059775,95.86,1,0,
baseline,HumanEval/160,1,1,0,9.64,0.00039455000000000046,0.00877375,95.5,1,0,
baseline,HumanEval/161,1,1,0,2.68,0.00012782500000000155,0.0028475,95.51,1,0,
baseline,HumanEval/162,1,1,0,1.34,4.382500000000081e-05,0.0011887500000000001,96.31,1,0,
baseline,HumanEval/163,0,0,0,4.1,0.00010167499999999899,0.00317875,96.8,1,0,
loop_only,HumanEval/0,1,1,0,4.98,0.00015882500000000133,0.00283875,94.41,1,0,
loop_only,HumanEval/1,1,1,0,17.39,0.0006492500000000005,0.00471625,86.23,2,0,
loop_only,HumanEval/2,1,1,0,5.8,0.00017082499999999945,0.0025287499999999997,93.24,1,0,
loop_only,HumanEval/3,1,1,0,5.15,0.0001318500000000028,0.00195,93.24,1,0,
loop_only,HumanEval/4,1,1,0,5.48,0.000181874999999998,0.00306,94.06,1,0,
loop_only,HumanEval/5,1,1,0,6.27,0.0001569250000000022,0.002785,94.37,1,0,
loop_only,HumanEval/6,1,1,0,6.78,0.000224499999999999,0.0038,94.09,1,0,
loop_only,HumanEval/7,1,1,0,4.04,0.0001405499999999997,0.00212875,93.4,1,0,
loop_only,HumanEval/8,1,1,0,5.13,0.00016675000000000023,0.00298,94.4,1,0,
loop_only,HumanEval/9,1,1,0,4.31,0.00012452500000000033,0.0020575000000000003,93.95,1,0,
loop_only,HumanEval/10,0,0,0,5.91,0.00024184999999999832,0.0040887499999999995,94.08,1,0,
loop_only,HumanEval/11,1,1,0,6.94,0.00017827499999999857,0.0031699999999999996,94.38,1,0,
loop_only,HumanEval/12,1,1,0,4.41,0.0001555999999999988,0.00279,94.42,1,0,
loop_only,HumanEval/13,1,1,0,3.44,0.0001222999999999988,0.0018612499999999998,93.43,1,0,
loop_only,HumanEval/14,1,1,0,3.64,0.00011097499999999927,0.0017762499999999998,93.75,1,0,
loop_only,HumanEval/15,1,1,0,3.96,8.214999999999958e-05,0.00099875,91.77,1,0,
loop_only,HumanEval/16,1,1,0,4.17,0.00017204999999999998,0.002745,93.73,1,0,
loop_only,HumanEval/17,1,1,0,16.46,0.000593024999999997,0.0055450000000000004,89.31,2,0,
loop_only,HumanEval/18,1,1,0,4.86,0.00018475000000000089,0.00333375,94.46,1,0,
loop_only,HumanEval/19,1,1,0,4.18,0.00020622500000000085,0.00373375,94.48,1,0,
loop_only,HumanEval/20,1,1,0,10.3,0.0002648500000000005,0.005622500000000001,95.29,1,0,
loop_only,HumanEval/21,1,1,0,8.01,0.00017807499999999976,0.00353875,94.97,1,0,
loop_only,HumanEval/22,1,1,0,4.59,0.00016697499999999976,0.00312,94.65,1,0,
loop_only,HumanEval/23,1,1,0,3.05,6.674999999999737e-05,0.0007175,90.7,1,0,
loop_only,HumanEval/24,1,1,0,4.01,0.00013332500000000358,0.0022787500000000004,94.15,1,0,
loop_only,HumanEval/25,1,1,0,8.03,0.00023240000000000066,0.00458,94.93,1,0,
loop_only,HumanEval/26,1,1,0,6.31,0.00016899999999999554,0.0027775,93.92,1,0,
loop_only,HumanEval/27,1,1,0,3.84,0.00010347499999999871,0.00096375,89.26,1,0,
loop_only,HumanEval/28,1,1,0,4.48,8.127500000000565e-05,0.00088375,90.8,1,0,
loop_only,HumanEval/29,1,1,0,3.75,9.477499999999833e-05,0.0012224999999999998,92.25,1,0,
loop_only,HumanEval/30,1,1,0,6.2,0.00013465000000000005,0.003255,95.86,1,0,
loop_only,HumanEval/31,1,1,0,5.78,0.0001345749999999979,0.0026675,94.96,1,0,
loop_only,HumanEval/32,1,1,0,25.13,0.0009711249999999894,0.0086375,88.76,2,0,
loop_only,HumanEval/33,1,1,0,9.16,0.0002982750000000006,0.007235,95.88,1,0,
loop_only,HumanEval/34,1,1,0,3.13,9.172500000000083e-05,0.001285,92.86,1,0,
loop_only,HumanEval/35,1,1,0,4.25,0.00012677500000000258,0.00207625,93.89,1,0,
loop_only,HumanEval/36,1,1,0,6.03,0.0001927250000000047,0.0036725,94.75,1,0,
loop_only,HumanEval/37,1,1,0,8.84,0.00019025000000000292,0.0036475,94.78,1,0,
loop_only,HumanEval/38,0,0,0,8.53,0.0003817249999999994,0.008002500000000001,95.23,1,0,
loop_only,HumanEval/39,1,1,0,21.94,0.0005669249999999959,0.00515375,89.0,2,0,
loop_only,HumanEval/40,1,1,0,5.78,0.00019720000000000154,0.0036925,94.66,1,0,
loop_only,HumanEval/41,1,1,0,10.61,0.0004115750000000043,0.007639999999999999,94.61,1,0,
loop_only,HumanEval/42,1,1,0,5.7,9.720000000000562e-05,0.0018399999999999998,94.72,1,0,
loop_only,HumanEval/43,1,1,0,5.3,0.0001880500000000021,0.00372,94.94,1,0,
loop_only,HumanEval/44,1,1,0,5.96,0.00016767499999999907,0.0030074999999999998,94.42,1,0,
loop_only,HumanEval/45,1,1,0,3.1,7.394999999999624e-05,0.0009412499999999999,92.14,1,0,
loop_only,HumanEval/46,1,1,0,8.6,0.00019327500000000664,0.00432625,95.53,1,0,
loop_only,HumanEval/47,1,1,0,7.18,0.00017509999999999748,0.0035074999999999998,95.01,1,0,
loop_only,HumanEval/48,1,1,0,4.41,0.00017617500000000064,0.0029125,93.95,1,0,
loop_only,HumanEval/49,1,1,0,4.69,9.832499999999633e-05,0.00136625,92.8,1,0,
loop_only,HumanEval/50,0,0,0,10.46,0.00042590000000000683,0.00322625,86.8,2,0,
loop_only,HumanEval/51,1,1,0,3.87,0.00011839999999999767,0.0013875,91.47,1,0,
loop_only,HumanEval/52,1,1,0,4.21,0.00011744999999999811,0.0016825,93.02,1,0,
loop_only,HumanEval/53,1,1,0,3.45,8.085000000000037e-05,0.00122,93.37,1,0,
loop_only,HumanEval/54,0,0,0,13.73,0.000527150000000004,0.00445625,88.17,2,0,
loop_only,HumanEval/55,1,1,0,5.2,0.00014217500000000133,0.00299875,95.26,1,0,
loop_only,HumanEval/56,1,1,0,4.74,0.00017209999999999448,0.00275,93.74,1,0,
loop_only,HumanEval/57,1,1,0,6.18,0.0001685250000000027,0.00324125,94.8,1,0,
loop_only,HumanEval/58,1,1,0,6.37,0.00014625000000000055,0.0033562500000000003,95.64,1,0,
loop_only,HumanEval/59,1,1,0,23.07,0.0004927249999999994,0.004382499999999999,88.76,2,0,
loop_only,HumanEval/60,1,1,0,4.11,0.00011235000000000411,0.0020712499999999997,94.58,1,0,
loop_only,HumanEval/61,1,1,0,5.72,0.00019347500000000545,0.0032675,94.08,1,0,
loop_only,HumanEval/62,1,1,0,7.77,0.00019242499999999607,0.0042375,95.46,1,0,
loop_only,HumanEval/63,1,1,0,5.79,0.00018349999999999617,0.0039175,95.32,1,0,
loop_only,HumanEval/64,1,1,0,8.24,0.00024397500000000044,0.00582,95.81,1,0,
loop_only,HumanEval/65,1,1,0,14.21,0.0005525499999999919,0.00401625,86.24,2,0,
loop_only,HumanEval/66,1,1,0,4.97,0.00015687500000000076,0.0025724999999999997,93.9,1,0,
loop_only,HumanEval/67,1,1,0,7.85,0.00027055000000000134,0.00502625,94.62,1,0,
loop_only,HumanEval/68,1,1,0,10.32,0.00022900000000000004,0.0042137500000000005,94.57,1,0,
loop_only,HumanEval/69,1,1,0,8.54,0.00019509999999999666,0.0041199999999999995,95.26,1,0,
loop_only,HumanEval/70,1,1,0,14.63,0.0005585749999999987,0.0038687500000000002,85.56,2,0,
loop_only,HumanEval/71,1,1,0,5.39,0.00014247499999999608,0.002465,94.22,1,0,
loop_only,HumanEval/72,1,1,0,8.75,0.0001732499999999998,0.003425,94.94,1,0,
loop_only,HumanEval/73,1,1,0,6.54,0.00019367499999999732,0.0042,95.39,1,0,
loop_only,HumanEval/74,1,1,0,6.43,0.00019692500000000057,0.004245,95.36,1,0,
loop_only,HumanEval/75,0,0,0,17.19,0.0006143249999999989,0.005435,88.7,2,0,
loop_only,HumanEval/76,1,1,0,6.82,0.0002196500000000018,0.0056812500000000005,96.13,1,0,
loop_only,HumanEval/77,0,0,0,13.73,0.0004481000000000068,0.00477125,90.61,2,0,
loop_only,HumanEval/78,1,1,0,6.96,0.00021017499999999995,0.0042775,95.09,1,0,
loop_only,HumanEval/79,1,1,0,5.27,0.0001498750000000007,0.0023275,93.56,1,0,
loop_only,HumanEval/80,1,1,0,7.47,0.00017700000000000354,0.0038262500000000002,95.37,1,0,
loop_only,HumanEval/81,0,0,0,9.72,0.0002906500000000034,0.00610125,95.24,1,0,
loop_only,HumanEval/82,1,1,0,7.62,0.0001708750000000009,0.003225,94.7,1,0,
loop_only,HumanEval/83,0,0,0,9.2,0.00028904999999999903,0.00794,96.36,1,0,
loop_only,HumanEval/84,1,1,0,15.11,0.0005068249999999955,0.004260000000000001,88.1,2,0,
loop_only,HumanEval/85,1,1,0,5.64,0.0001429999999999973,0.0026725,94.65,1,0,
loop_only,HumanEval/86,1,1,0,8.78,0.00032330000000000553,0.0055337500000000005,94.16,1,0,
loop_only,HumanEval/87,1,1,0,7.71,0.0002879999999999966,0.0063575,95.47,1,0,
loop_only,HumanEval/88,1,1,0,10.07,0.0002771999999999983,0.00607625,95.44,1,0,
loop_only,HumanEval/89,1,1,0,11.69,0.0002884999999999971,0.00691125,95.83,1,0,
loop_only,HumanEval/90,1,1,0,5.11,0.00015917500000000445,0.00316875,94.98,1,0,
loop_only,HumanEval/91,1,1,0,5.81,0.00021994999999999654,0.0035175,93.75,1,0,
loop_only,HumanEval/92,1,1,0,6.01,0.00017364999999999742,0.0034525,94.97,1,0,
loop_only,HumanEval/93,1,1,0,14.22,0.000313525000000002,0.00773,95.94,1,0,
loop_only,HumanEval/94,0,0,0,21.34,0.0006985749999999999,0.0083,91.58,2,0,
loop_only,HumanEval/95,1,1,0,8.34,0.0002466749999999948,0.004795000000000001,94.86,1,0,
loop_only,HumanEval/96,1,1,0,10.31,0.0002445999999999976,0.005915,95.86,1,0,
loop_only,HumanEval/97,1,1,0,5.63,0.0001439999999999983,0.00241625,94.04,1,0,
loop_only,HumanEval/98,0,0,0,18.91,0.0006170250000000072,0.00899375,93.14,2,0,
loop_only,HumanEval/99,1,1,0,5.97,0.00022130000000000066,0.0037087500000000002,94.03,1,0,
loop_only,HumanEval/100,0,0,0,7.58,0.00019929999999999948,0.00456875,95.64,1,0,
loop_only,HumanEval/101,1,1,0,5.06,0.00014775000000000205,0.00225875,93.46,1,0,
loop_only,HumanEval/102,0,0,0,6.18,0.0001793499999999948,0.00339,94.71,1,0,
loop_only,HumanEval/103,1,1,0,16.44,0.0005021499999999998,0.004648749999999999,89.2,2,0,
loop_only,HumanEval/104,1,1,0,5.37,0.00017400000000000054,0.0028799999999999997,93.96,1,0,
loop_only,HumanEval/105,1,1,0,6.46,0.00020749999999999935,0.00396875,94.77,1,0,
loop_only,HumanEval/106,0,0,0,8.64,0.00020432499999999826,0.00503875,95.94,1,0,
loop_only,HumanEval/107,1,1,0,8.72,0.00023622499999999963,0.00443625,94.68,1,0,
loop_only,HumanEval/108,1,1,0,9.41,0.00025325000000000347,0.00468875,94.6,1,0,
loop_only,HumanEval/109,1,1,0,11.39,0.0003601000000000021,0.0076,95.26,1,0,
loop_only,HumanEval/110,1,1,0,6.94,0.0002303249999999965,0.0049,95.3,1,0,
loop_only,HumanEval/111,1,1,0,7.1,0.00020582499999999976,0.0037025,94.44,1,0,
loop_only,HumanEval/112,1,1,0,5.73,0.00015377500000000183,0.00235875,93.48,1,0,
loop_only,HumanEval/113,0,0,0,10.31,0.0003789500000000029,0.0077800000000000005,95.13,1,0,
loop_only,HumanEval/114,1,1,0,6.69,0.0001980249999999975,0.00358375,94.47,1,0,
loop_only,HumanEval/115,1,1,0,6.99,0.00023775000000000185,0.0054275,95.62,1,0,
loop_only,HumanEval/116,0,0,0,9.91,0.00026112500000000094,0.0053662499999999995,95.13,1,0,
loop_only,HumanEval/117,1,1,0,8.82,0.0002663249999999978,0.005209999999999999,94.89,1,0,
loop_only,HumanEval/118,1,1,0,8.0,0.0002595499999999973,0.00458625,94.34,1,0,
loop_only,HumanEval/119,1,1,0,11.45,0.00039975000000000427,0.00821,95.13,1,0,
loop_only,HumanEval/120,1,1,0,7.06,0.0001993250000000002,0.003975,94.99,1,0,
loop_only,HumanEval/121,1,1,0,6.69,0.0001510999999999943,0.0034950000000000003,95.68,1,0,
